description,category
"Workshop","Entertainment"
"Seminar","Entertainment"
"Conference","Entertainment"
"Exhibition","Entertainment"
"Trade fair","Entertainment"
"Book fair","Entertainment"
"Food festival","Entertainment"
"Cultural festival","Entertainment"
"Music festival","Entertainment"
"Dance festival","Entertainment"
"Film festival","Entertainment"
"Literature festival","Entertainment"
"Fashion show","Entertainment"
"Beauty contest","Entertainment"
"Talent show","Entertainment"
"Quiz competition","Entertainment"
"Debate competition","Entertainment"
"Elocution","Entertainment"
"Essay competition","Entertainment"
"Drawing competition","Entertainment"
"Painting competition","Entertainment"
"Sports competition","Entertainment"
"Gaming tournament","Entertainment"
"Online tournament","Entertainment"
"Esports","Entertainment"
"PUBG tournament","Entertainment"
"Free Fire tournament","Entertainment"
"COD tournament","Entertainment"
"FIFA tournament","Entertainment"
"Chess tournament","Entertainment"
"Carrom tournament","Entertainment"
"TT tournament","Entertainment"
"Badminton tournament","Entertainment"
"Cricket tournament","Entertainment"
"Football tournament","Entertainment"
"Marathon registration","Entertainment"
"Race registration","Entertainment"
"Competition fees","Entertainment"
"Entry fees","Entertainment"
"Participation fees","Entertainment"
"Registration charges","Entertainment"
"Hotel booking","Travel"
"Resort booking","Travel"
"Homestay","Travel"
"Guest house","Travel"
"Lodge","Travel"
"Dharamshala","Travel"
"Ashram","Travel"
"Hostel","Travel"
"Backpacker hostel","Travel"
"Youth hostel","Travel"
"Budget hotel","Travel"
"Luxury hotel","Travel"
"5 star hotel","Travel"
"Heritage hotel","Travel"
"Palace hotel","Travel"
"Beach resort","Travel"
"Hill resort","Travel"
"Spa resort","Travel"
"Wellness resort","Travel"
"Eco resort","Travel"
"Farm stay","Travel"
"Tree house","Travel"
"Tent stay","Travel"
"Camping","Travel"
"Glamping","Travel"
"Caravan","Travel"
"Motorhome","Travel"
"Houseboat","Travel"
"Cruise booking","Travel"
"River cruise","Travel"
"Backwater cruise","Travel"
"Goa cruise","Travel"
"Kerala cruise","Travel"
"Mumbai cruise","Travel"
"Flight booking","Travel"
"Domestic flight","Travel"
"International flight","Travel"
"Air India","Travel"
"IndiGo","Travel"
"SpiceJet","Travel"
"GoAir","Travel"
"Vistara","Travel"
"AirAsia","Travel"
"Jet Airways","Travel"
"Emirates","Travel"
"Qatar Airways","Travel"
"Singapore Airlines","Travel"
"Thai Airways","Travel"
"Lufthansa","Travel"
"British Airways","Travel"
"Virgin Atlantic","Travel"
"Delta","Travel"
"United","Travel"
"American Airlines","Travel"
"Turkish Airlines","Travel"
"Etihad","Travel"
"Economy class","Travel"
"Premium economy","Travel"
"Business class","Travel"
"First class","Travel"
"Seat selection","Travel"
"Extra legroom","Travel"
"Priority boarding","Travel"
"Fast track","Travel"
"Lounge access","Travel"
"Airport lounge","Travel"
"Meal selection","Travel"
"Special meal","Travel"
"Baggage allowance","Travel"
"Extra baggage","Travel"
"Overweight baggage","Travel"
"Excess baggage","Travel"
"Cabin baggage","Travel"
"Check-in baggage","Travel"
"Hand luggage","Travel"
"Suitcase","Travel"
"Travel bag","Travel"
"Backpack","Travel"
"Trolley bag","Travel"
"Duffel bag","Travel"
"Travel insurance","Travel"
"Medical insurance","Travel"
"Trip insurance","Travel"
"Visa fees","Travel"
"Passport fees","Travel"
"Passport renewal","Travel"
"Visa application","Travel"
"Tourist visa","Travel"
"Business visa","Travel"
"Student visa","Travel"
"Work visa","Travel"
"Transit visa","Travel"
"Multiple entry visa","Travel"
"Visa extension","Travel"
"Visa photos","Travel"
"Apostille","Travel"
"Embassy fees","Travel"
"Consulate fees","Travel"
"VFS fees","Travel"
"Biometric fees","Travel"
"Document attestation","Travel"
"Translation","Travel"
"Notarization","Travel"
"Affidavit","Travel"
"NOC","Travel"
"Permission letter","Travel"
"Vaccination certificate","Travel"
"Health certificate","Travel"
"COVID test","Travel"
"RT-PCR test","Travel"
"Antigen test","Travel"
"Antibody test","Travel"
"Travel permit","Travel"
"Inner line permit","Travel"
"Protected area permit","Travel"
"Restricted area permit","Travel"
"Forest permit","Travel"
"Trekking permit","Travel"
"Camping permit","Travel"
"Photography permit","Travel"
"Drone permit","Travel"
"Vehicle permit","Travel"
"Entry ticket","Travel"
"Monument ticket","Travel"
"Museum ticket","Travel"
"Fort ticket","Travel"
"Palace ticket","Travel"
"Temple ticket","Travel"
"Darshan ticket","Travel"
"VIP darshan","Travel"
"Special darshan","Travel"
"Aarti ticket","Travel"
"Seva ticket","Travel"
"Prasadam","Travel"
"Offering","Travel"
"Donation","Travel"
"Dakshina","Travel"
"Gurudakshina","Travel"
"Temple donation","Travel"
"Charity donation","Travel"
"Religious donation","Travel"
"Spiritual donation","Travel"
"Ashram donation","Travel"
"Seva","Travel"
"Daan","Travel"
"Bhiksha","Travel"
"Annadaan","Travel"
"Vastra daan","Travel"
"Book donation","Travel"
"Blood donation","Travel"
"Organ donation","Travel"
"Eye donation","Travel"
"Body donation","Travel"
"Bone marrow donation","Travel"
"Plasma donation","Travel"
"Hair donation","Travel"
"Milk donation","Travel"
"Food donation","Travel"
"Clothes donation","Travel"
"Toy donation","Travel"
"Book donation","Travel"
"Furniture donation","Travel"
"Electronic donation","Travel"
"Vehicle donation","Travel"
"Land donation","Travel"
"Property donation","Travel"
"Money donation","Travel"
"Scholarship","Travel"
"Sponsorship","Travel"
"Adoption","Travel"
"Foster care","Travel"
"Child support","Travel"
"Elder care","Travel"
"Disability support","Travel"
"Medical support","Travel"
"Educational support","Travel"
"Emergency relief","Travel"
"Disaster relief","Travel"
"Flood relief","Travel"
"Earthquake relief","Travel"
"Cyclone relief","Travel"
"Drought relief","Travel"
"Pandemic relief","Travel"
"COVID relief","Travel"
"Vaccine support","Travel"
"Healthcare support","Travel"
"Hospital support","Travel"
"Medicine support","Travel"
"Treatment support","Travel"
"Surgery support","Travel"
"Cancer support","Travel"
"Heart surgery support","Travel"
"Kidney treatment support","Travel"
"Liver treatment support","Travel"
"Brain surgery support","Travel"
"Accident support","Travel"
"Injury support","Travel"
"Rehabilitation support","Travel"
"Physiotherapy support","Travel"
"Mental health support","Travel"
"Counseling support","Travel"
"Therapy support","Travel"
"Addiction treatment support","Travel"
"De-addiction support","Travel"
"Rehabilitation center support","Travel"
"Old age home support","Travel"
"Orphanage support","Travel"
"Animal shelter support","Travel"
"Cow shelter support","Travel"
"Gaushala support","Travel"
"Dog shelter support","Travel"
"Bird sanctuary support","Travel"
"Wildlife conservation","Travel"
"Forest conservation","Travel"
"Environment conservation","Travel"
"Tree plantation","Travel"
"Clean water project","Travel"
"Sanitation project","Travel"
"Toilet construction","Travel"
"School construction","Travel"
"Hospital construction","Travel"
"Road construction","Travel"
"Bridge construction","Travel"
"Well construction","Travel"
"Borewell construction","Travel"
"Water tank construction","Travel"
"Community hall construction","Travel"
"Library construction","Travel"
"Sports facility construction","Travel"
"Playground construction","Travel"
"Park development","Travel"
"Garden development","Travel"
"Street lighting","Travel"
"CCTV installation","Travel"
"Security system","Travel"
"Fire safety system","Travel"
"Emergency services","Travel"
"Ambulance service","Travel"
"Medical emergency","Travel"
"Police assistance","Travel"
"Legal aid","Travel"
"Court fees","Other"
"Lawyer fees","Other"
"Advocate fees","Other"
"Legal consultation","Other"
"Case filing fees","Other"
"Stamp duty","Other"
"Registration fees","Other"
"Property registration","Other"
"Vehicle registration","Other"
"Business registration","Other"
"Company registration","Other"
"Partnership deed","Other"
"MOU","Other"
"Agreement","Other"
"Contract","Other"
"License fees","Other"
"Permit fees","Other"
"NOC fees","Other"
"Clearance fees","Other"
"Approval fees","Other"
"Verification fees","Other"
"Authentication fees","Other"
"Attestation fees","Other"
"Notarization fees","Other"
"Affidavit fees","Other"
"Declaration fees","Other"
"Undertaking fees","Other"
"Bond fees","Other"
"Guarantee fees","Other"
"Security deposit","Other"
"Advance payment","Other"
"Token money","Other"
"Booking amount","Other"
"Processing fees","Other"
"Handling charges","Other"
"Service charges","Other"
"Administrative charges","Other"
"Documentation charges","Other"
"Courier charges","Other"
"Postal charges","Other"
"Speed post","Other"
"Registered post","Other"
"Express delivery","Other"
"Same day delivery","Other"
"Next day delivery","Other"
"Cash on delivery","Other"
"Shipping charges","Other"
"Packaging charges","Other"
"Insurance charges","Other"
"Transit insurance","Other"
"Cargo insurance","Other"
"Freight charges","Other"
"Transportation charges","Other"
"Loading charges","Other"
"Unloading charges","Other"
"Storage charges","Other"
"Warehouse charges","Other"
"Godown charges","Other"
"Cold storage charges","Other"
"Rent deposit","Housing"
"Brokerage","Housing"
"Agent commission","Housing"
"Property consultant fees","Housing"
"Real estate fees","Housing"
"Valuation fees","Housing"
"Survey fees","Housing"
"Inspection fees","Housing"
"Maintenance deposit","Housing"
"Society deposit","Housing"
"Club membership","Housing"
"Amenity charges","Housing"
"Facility charges","Housing"
"Common area maintenance","Housing"
"Elevator maintenance","Housing"
"Generator maintenance","Housing"
"Water pump maintenance","Housing"
"Swimming pool maintenance","Housing"
"Gym maintenance","Housing"
"Garden maintenance","Housing"
"Security charges","Housing"
"Watchman charges","Housing"
"Cleaning charges","Housing"
"Garbage collection","Housing"
"Waste disposal","Housing"
"Sewage charges","Housing"
"Drainage charges","Housing"
"Road maintenance","Housing"
"Street lighting charges","Housing"
"Fire safety charges","Housing"
"Insurance premium","Housing"
"Property tax","Housing"
"Municipal tax","Housing"
"Corporation tax","Housing"
"Panchayat tax","Housing"
"Water tax","Housing"
"Drainage tax","Housing"
"Street light tax","Other"
"Professional tax","Other"
"Income tax","Other"
"GST","Other"
"TDS","Other"
"Advance tax","Other"
"Self assessment tax","Other"
"Interest on tax","Other"
"Penalty on tax","Other"
"Tax consultant fees","Other"
"CA fees","Other"
"Auditor fees","Other"
"Accounting fees","Other"
"Bookkeeping charges","Other"
"Financial advisor fees","Other"
"Investment advisor fees","Other"
"Mutual fund charges","Other"
"Brokerage charges","Other"
"Demat charges","Other"
"Trading charges","Other"
"STT","Other"
"Transaction charges","Other"
"Processing fees","Other"
"Annual maintenance charges","Other"
"Locker charges","Other"
"Safe deposit charges","Other"
"Cheque book charges","Other"
"DD charges","Other"
"RTGS charges","Other"
"NEFT charges","Other"
"IMPS charges","Other"
"UPI charges","Other"
"Net banking charges","Other"
"Mobile banking charges","Other"
"SMS charges","Other"
"Alert charges","Other"
"Statement charges","Other"
"Passbook charges","Other"
"Card charges","Other"
"Credit card charges","Other"
"Debit card charges","Other"
"ATM charges","Other"
"Cash withdrawal charges","Other"
"Balance enquiry charges","Other"
"Mini statement charges","Other"
"PIN generation charges","Other"
"Card replacement charges","Other"
"Lost card charges","Other"
"Stolen card charges","Other"
"Damaged card charges","Other"
"Expired card charges","Other"
"Card activation charges","Other"
"Card upgrade charges","Other"
"Card downgrade charges","Other"
"Foreign transaction charges","Other"
"Currency conversion charges","Other"
"International charges","Other"
"Overseas charges","Other"
"Travel card charges","Other"
"Forex charges","Other"
"Wire transfer charges","Other"
"Swift charges","Other"
"Correspondent bank charges","Other"
"Intermediary bank charges","Other"
"Beneficiary bank charges","Other"
"Remittance charges","Other"
"Money transfer charges","Other"
"Online transfer charges","Other"
"Mobile transfer charges","Other"
"Wallet charges","Other"
"Digital payment charges","Other"
"QR code charges","Other"
"Scan and pay charges","Other"
"Tap and pay charges","Other"
"Contactless payment charges","Other"
"NFC charges","Other"
"Bluetooth payment charges","Other"
"Biometric payment charges","Other"
"Fingerprint payment charges","Other"
"Face recognition charges","Other"
"Voice recognition charges","Other"
"OTP charges","Other"
"Authentication charges","Other"
"Verification charges","Other"
"Security charges","Other"
"Fraud protection charges","Other"
"Insurance charges","Other"
"Protection charges","Other"
"Guarantee charges","Other"
"Warranty charges","Other"
"Extended warranty","Other"
"Service warranty","Other"
"Product warranty","Other"
"Replacement warranty","Other"
"Repair warranty","Other"
"Maintenance warranty","Other"
"Support charges","Other"
"Help desk charges","Other"
"Customer service charges","Other"
"Technical support charges","Other"
"Installation charges","Other"
"Setup charges","Other"
"Configuration charges","Other"
"Customization charges","Other"
"Migration charges","Other"
"Upgrade charges","Other"
"Update charges","Other"
"Patch charges","Other"
"Bug fix charges","Other"
"Enhancement charges","Other"
"Feature charges","Other"
"Add-on charges","Other"
"Plugin charges","Other"
"Extension charges","Other"
"Module charges","Other"
"Component charges","Other"
"Library charges","Other"
"Framework charges","Other"
"API charges","Other"
"Integration charges","Other"
"Synchronization charges","Other"
"Backup charges","Other"
"Restore charges","Other"
"Recovery charges","Other"
"Archive charges","Other"
"Storage charges","Other"
"Cloud charges","Other"
"Server charges","Other"
"Hosting charges","Other"
"Domain charges","Other"
"SSL charges","Other"
"Security certificate charges","Other"
"Encryption charges","Other"
"Firewall charges","Other"
"Antivirus charges","Other"
"Anti-malware charges","Other"
"Spam protection charges","Other"
"Email protection charges","Other"
"Web protection charges","Other"
"Network protection charges","Other"
"Endpoint protection charges","Other"
"Mobile protection charges","Other"
"Device protection charges","Other"
"Data protection charges","Other"
"Privacy protection charges","Other"
"Identity protection charges","Other"
"Credit protection charges","Other"
"Financial protection charges","Other"
"Investment protection charges","Other"
"Asset protection charges","Other"
"Property protection charges","Other"
"Life protection charges","Other"
"Health protection charges","Other"
"Travel protection charges","Other"
"Vehicle protection charges","Other"
"Home protection charges","Other"
"Business protection charges","Other"
"Professional protection charges","Other"
"Liability protection charges","Other"
"Indemnity charges","Other"
"Compensation charges","Other"
"Settlement charges","Other"
"Claim charges","Other"
"Recovery charges","Other"
"Adjustment charges","Other"
"Reconciliation charges","Other"
"Clearance charges","Other"
"Settlement charges","Other"
"Final charges","Other"
"Closure charges","Other"
"Termination charges","Other"
"Cancellation charges","Other"
"Refund charges","Other"
"Return charges","Other"
"Exchange charges","Other"
"Replacement charges","Other"
"Repair charges","Other"
"Service charges","Other"
"Maintenance charges","Other"
"Upkeep charges","Other"
"Preservation charges","Other"
"Conservation charges","Other"
"Restoration charges","Other"
"Renovation charges","Other"
"Improvement charges","Other"
"Enhancement charges","Other"
"Modification charges","Other"
"Alteration charges","Other"
"Conversion charges","Other"
"Transformation charges","Other"
"Adaptation charges","Other"
"Adjustment charges","Other"
"Calibration charges","Other"
"Alignment charges","Other"
"Balancing charges","Other"
"Tuning charges","Other"
"Optimization charges","Other"
"Performance charges","Other"
"Efficiency charges","Other"
"Quality charges","Other"
"Standard charges","Other"
"Compliance charges","Other"
"Regulatory charges","Other"
"Statutory charges","Other"
"Mandatory charges","Other"
"Compulsory charges","Other"
"Optional charges","Other"
"Voluntary charges","Other"
"Additional charges","Other"
"Extra charges","Other"
"Supplementary charges","Other"
"Ancillary charges","Other"
"Incidental charges","Other"
"Miscellaneous charges","Other"
"Sundry charges","Other"
"Other charges","Other"
"Unspecified charges","Other"
"Unknown charges","Other"
"Miscellaneous expenses","Other"
"Sundry expenses","Other"
"Other expenses","Other"
"Unspecified expenses","Other"
"Unknown expenses","Other"
"Random expenses","Other"
"General expenses","Other"
"Common expenses","Other"
"Routine expenses","Other"
"Regular expenses","Other"
"Recurring expenses","Other"
"Periodic expenses","Other"
"Cyclical expenses","Other"
"Seasonal expenses","Other"
"Annual expenses","Other"
"Monthly expenses","Other"
"Weekly expenses","Other"
"Daily expenses","Other"
"Hourly expenses","Other"
"Emergency expenses","Other"
"Urgent expenses","Other"
"Priority expenses","Other"
"Important expenses","Other"
"Critical expenses","Other"
"Essential expenses","Other"
"Necessary expenses","Other"
"Required expenses","Other"
"Mandatory expenses","Other"
"Compulsory expenses","Other"
"Optional expenses","Other"
"Voluntary expenses","Other"
"Discretionary expenses","Other"
"Luxury expenses","Other"
"Premium expenses","Other"
"Special expenses","Other"
"Unique expenses","Other"
"Rare expenses","Other"
"Unusual expenses","Other"
"Exceptional expenses","Other"
"Extraordinary expenses","Other"
"Unexpected expenses","Other"
"Surprise expenses","Other"
"Last minute expenses","Other"
"Impulse expenses","Other"
"Spontaneous expenses","Other"
"Unplanned expenses","Other"
"Ad-hoc expenses","Other"
"One-time expenses","Other"
"Single expenses","Other"
"Individual expenses","Other"
"Personal expenses","Other"
"Private expenses","Other"
"Confidential expenses","Other"
"Secret expenses","Other"
"Hidden expenses","Other"
"Undisclosed expenses","Other"
"Unreported expenses","Other"
"Unrecorded expenses","Other"
"Unaccounted expenses","Other"
"Unofficial expenses","Other"
"Informal expenses","Other"
"Casual expenses","Other"
"Temporary expenses","Other"
"Short-term expenses","Other"
"Long-term expenses","Other"
"Permanent expenses","Other"
"Fixed expenses","Other"
"Variable expenses","Other"
"Flexible expenses","Other"
"Adjustable expenses","Other"
"Negotiable expenses","Other"
"Non-negotiable expenses","Other"
"Final expenses","Other"
"Concluding expenses","Other"
"Closing expenses","Other"
"Ending expenses","Other"
"Finishing expenses","Other"
"Completing expenses","Other"
"Finalizing expenses","Other"
"Wrapping up expenses","Other"
"Settlement expenses","Other"
"Resolution expenses","Other"
"Conclusion expenses","Other"
